match_no,innings,wkt,runs,over,batsman
1,1,1,5,1.5,Abhishek Sharma
1,1,2,9,2.3,Travis Head
1,1,3,29,5.4,Nitish K Reddy
1,1,4,100,13.1,Heinrich Klaasen
1,1,5,142,15.3,Salil Arora
1,1,6,155,16.6,Ishan Kishan
1,1,7,167,17.5,Harsh Dubey
1,1,8,175,18.5,Harshal Patel
1,1,9,192,19.3,Aniket Verma
1,2,1,9,1.1,Phil Salt
1,2,2,110,8.4,Devdutt Padikkal
1,2,3,163,12.2,Rajat Patidar
1,2,4,163,12.3,Jitesh Sharma
2,1,1,69,5.2,Finn Allen
2,1,2,109,8.5,Cameron Green
2,1,3,145,13.3,Ajinkya Rahane
2,1,4,205,18.3,Angkrish Raghuvanshi
2,2,1,148,11.5,Rohit Sharma
2,2,2,179,14.2,Suryakumar Yadav
2,2,3,184,15.2,Ryan Rickelton
2,2,4,215,18.4,Tilak Varma
